date,safegraph_place,visitor_home_cbg,number
2019-01-07,sg:8144cd3a2ac44a03a4e764b739d27355,511870201001,4
2019-01-07,sg:8144cd3a2ac44a03a4e764b739d27355,511076115022,4
2019-01-07,sg:8144cd3a2ac44a03a4e764b739d27355,511076110231,4
2019-01-07,sg:8144cd3a2ac44a03a4e764b739d27355,511076110093,4
2019-01-07,sg:8144cd3a2ac44a03a4e764b739d27355,511076110251,4
2019-01-07,sg:005837d9f50f45079db676fec7d1039c,511210212003,4
2019-01-07,sg:005837d9f50f45079db676fec7d1039c,511210206002,4
2019-01-07,sg:005837d9f50f45079db676fec7d1039c,511210209002,4
2019-01-07,sg:bd537848cce7430e94c602c527e83fb3,510594811052,5
2019-01-07,sg:bd537848cce7430e94c602c527e83fb3,511076106043,4
2019-01-07,sg:bd537848cce7430e94c602c527e83fb3,511076110021,4
2019-01-07,sg:bd537848cce7430e94c602c527e83fb3,511076107022,4
2019-01-07,sg:bd537848cce7430e94c602c527e83fb3,511076109002,4
2019-01-07,sg:bd537848cce7430e94c602c527e83fb3,240338056022,4
2019-01-07,sg:bd537848cce7430e94c602c527e83fb3,240317034022,4
2019-01-07,sg:bd537848cce7430e94c602c527e83fb3,511076105041,4
2019-01-07,sg:bd537848cce7430e94c602c527e83fb3,510594805021,4
2019-01-07,sg:bd537848cce7430e94c602c527e83fb3,511870201001,4
2019-01-07,sg:bd537848cce7430e94c602c527e83fb3,511076102011,4
2019-01-07,sg:bd537848cce7430e94c602c527e83fb3,510690503001,4
2019-01-07,sg:bd537848cce7430e94c602c527e83fb3,511076106013,4
2019-01-07,sg:bd537848cce7430e94c602c527e83fb3,511076106014,4
2019-01-07,sg:bd537848cce7430e94c602c527e83fb3,240178502011,4
2019-01-07,sg:bd537848cce7430e94c602c527e83fb3,511076103003,4
2019-01-07,sg:bd537848cce7430e94c602c527e83fb3,511539012261,4
2019-01-07,sg:bd537848cce7430e94c602c527e83fb3,240150314002,4
2019-01-07,sg:bd537848cce7430e94c602c527e83fb3,510594913032,4
2019-01-07,sg:683319626028465784e89ad9defd8d91,
2019-01-07,sg:5ed542c0899d43a7867b4d4fffef22b3,517500102001,4
2019-01-07,sg:f90c497be5064d4a967e01da7eb3a8cd,511552106001,4
2019-01-07,sg:7681e672814645e7bbbf8b0741017737,510719303006,4
2019-01-07,sg:dac8bfe8245b4fdb9918d475e0b46ce3,516400701014,4
2019-01-07,sg:dac8bfe8245b4fdb9918d475e0b46ce3,511210214004,4
2019-01-07,sg:c6729dd08f3c47c29f8de9e0ed490813,511210214004,4
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,511076110242,6
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,511076110091,6
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,511076118032,6
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,511076119001,5
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,511076110041,5
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,511076110231,5
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,511076112042,4
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,511076110061,4
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,510594913032,4
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,511076110221,4
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,511076105073,4
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,511076105051,4
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,511076103003,4
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,511076105033,4
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,511076112051,4
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,511076101022,4
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,511076105041,4
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,511076116012,4
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,511076110191,4
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,511076111012,4
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,510690510002,4
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,540039713001,4
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,511076112021,4
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,511076110202,4
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,511076102022,4
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,511076106031,4
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,511076102011,4
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,510594912012,4
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,511076110241,4
